Entity,Code,Year,Gas (terawatt-hours)
Argentina,ARG,2009,441.1308015485925
Argentina,ARG,2010,453.45156432866554
Argentina,ARG,2011,471.59867451567794
Argentina,ARG,2012,489.1446524534531
Argentina,ARG,2013,489.088185637306
Argentina,ARG,2014,493.7220795087348
Argentina,ARG,2015,504.36576782574025
Argentina,ARG,2016,519.2276726778185
Asia Pacific,,1965,61.24029358333331
Asia Pacific,,1966,68.1346893333333
Asia Pacific,,1967,77.23661358333331
Asia Pacific,,1968,84.07105858333328
Asia Pacific,,1969,110.80309366666663
Asia Pacific,,1970,152.97025747288896
Asia Pacific,,1971,180.6485311340445
Asia Pacific,,1972,208.71687958203734
Asia Pacific,,1973,256.76337560528225
Asia Pacific,,1974,319.0034197058951
Asia Pacific,,1975,369.9181394398317
Asia Pacific,,1976,425.2085408212986
Asia Pacific,,1977,522.3944556898127
Asia Pacific,,1978,624.2750568080604
Asia Pacific,,1979,712.8957861203854
Asia Pacific,,1980,765.7988908783354
Asia Pacific,,1981,775.8320324212505
Asia Pacific,,1982,809.1262481036603
Asia Pacific,,1983,889.4258846272514
Asia Pacific,,1984,1039.610343429347
Asia Pacific,,1985,1129.4477933442788
Asia Pacific,,1986,1233.148233656225
Asia Pacific,,1987,1309.156121185888
Asia Pacific,,1988,1396.4604626147045
Asia Pacific,,1989,1486.1393049716398
Asia Pacific,,1990,1579.6430664077234
Asia Pacific,,1991,1735.2809896786327
Asia Pacific,,1992,1843.743288078961
Asia Pacific,,1993,1936.2679066676944
Asia Pacific,,1994,2094.800758470852
Asia Pacific,,1995,2195.2113264870554
Asia Pacific,,1996,2399.1439829217516
Asia Pacific,,1997,2582.8779001140506
Asia Pacific,,1998,2655.8308615392552
Asia Pacific,,1999,2867.0255008794793
Asia Pacific,,2000,3085.099786409873
Asia Pacific,,2001,3277.2769491769473
Asia Pacific,,2002,3432.119467054136
Asia Pacific,,2003,3725.364805469895
Asia Pacific,,2004,3961.828544428061
Asia Pacific,,2005,4255.08309795986
Asia Pacific,,2006,4569.028852380141
Asia Pacific,,2007,4905.638280904301
Asia Pacific,,2008,5231.582682601286
Asia Pacific,,2009,5373.109857715123
Asia Pacific,,2010,5928.834501266817
Asia Pacific,,2011,6440.986307910881
Asia Pacific,,2012,6961.769691581663
Asia Pacific,,2013,7043.435683370964
Asia Pacific,,2014,7268.153504742972
Asia Pacific,,2015,7345.710828991511
Asia Pacific,,2016,7562.417359095652
Australia,AUS,1965,0.034890000000000004
Australia,AUS,1966,0.046520000000000006
Australia,AUS,1967,0.046520000000000006
Australia,AUS,1968,0.32564000000000004
Australia,AUS,1969,4.39614
Australia,AUS,1970,17.0955012876
Australia,AUS,1971,25.515526921780005
Australia,AUS,1972,36.62760275872001
Australia,AUS,1973,46.50172850242001
Australia,AUS,1974,53.05500399600001
Australia,AUS,1975,56.975179291260005
Australia,AUS,1976,67.26195506604
Australia,AUS,1977,76.83150578680001
Australia,AUS,1978,82.71668123006
Australia,AUS,1979,95.21408217134002
Australia,AUS,1980,109.33260823472003
Australia,AUS,1981,118.49933392514001
Australia,AUS,1982,115.57148370462002
Australia,AUS,1983,125.54385945572002
Australia,AUS,1984,127.401467841798
Australia,AUS,1985,136.04692638206348
Australia,AUS,1986,148.46002207903751
Australia,AUS,1987,151.607222242302
Australia,AUS,1988,155.1104820916555
Australia,AUS,1989,167.7652895537375
Australia,AUS,1990,167.38380191518712
Australia,AUS,1991,164.1552270279411
Australia,AUS,1992,172.2896924782206
Australia,AUS,1993,177.02265886113912
Australia,AUS,1994,194.6573953983612
Australia,AUS,1995,193.78245684666817
Australia,AUS,1996,197.0589198807777
Australia,AUS,1997,193.5376355101189
Australia,AUS,1998,199.25849412471808
Australia,AUS,1999,204.09388467923995
Australia,AUS,2000,207.9623703796329
Australia,AUS,2001,224.2574762447637
Australia,AUS,2002,230.81277768099613
Australia,AUS,2003,232.71779075238354
Australia,AUS,2004,237.5125385728155
Australia,AUS,2005,235.87804832709168
Australia,AUS,2006,263.1207382950036
Australia,AUS,2007,294.3569029773158
Australia,AUS,2008,291.55183749113337
Australia,AUS,2009,305.0844839812726
Australia,AUS,2010,325.24822029573204
Australia,AUS,2011,352.9064842793023
Australia,AUS,2012,354.0730522975464
Australia,AUS,2013,371.6037821284355
Australia,AUS,2014,400.5903406289226
Australia,AUS,2015,448.853367197785
Australia,AUS,2016,430.38090205170084
Austria,AUT,1965,19.029167328510926
Austria,AUT,1966,20.432188042097692
Austria,AUT,1967,19.575266056294303
Austria,AUT,1968,20.87504427495135
Austria,AUT,1969,25.32622359547468
Austria,AUT,1970,30.720421291154295
Austria,AUT,1971,35.28934224480951
Austria,AUT,1972,38.136996070634225
Austria,AUT,1973,41.91646803824687
Austria,AUT,1974,45.434661630038775
Austria,AUT,1975,45.380000115815754
Austria,AUT,1976,51.68572363216006
Austria,AUT,1977,52.67386762095166
Austria,AUT,1978,54.78851625257234
Austria,AUT,1979,54.32401652267088
Austria,AUT,1980,52.189296075574546
Austria,AUT,1981,49.74681910770791
Austria,AUT,1982,48.1522484842625
Austria,AUT,1983,49.13123986251143
Austria,AUT,1984,54.703459574779664
Austria,AUT,1985,58.613496140484706
Austria,AUT,1986,56.90872944209374
Austria,AUT,1987,59.36709378137904
Austria,AUT,1988,56.86939178430265
Austria,AUT,1989,61.075879225192104
Austria,AUT,1990,67.23677224098074
Austria,AUT,1991,71.28530198771617
Austria,AUT,1992,70.00216445191104
Austria,AUT,1993,73.61746138426247
Austria,AUT,1994,75.72249368054639
Austria,AUT,1995,82.67650970502454
Austria,AUT,1996,88.00000695975456
Austria,AUT,1997,84.81358174826453
Austria,AUT,1998,87.07334795576931
Austria,AUT,1999,88.94095237956242
Austria,AUT,2000,84.89981983917242
Austria,AUT,2001,89.9769794141232
Austria,AUT,2002,88.46083433456727
Austria,AUT,2003,97.30237135582763
Austria,AUT,2004,98.23883398926148
Austria,AUT,2005,103.43315203750112
Austria,AUT,2006,97.1962963330314
Austria,AUT,2007,91.96037049195958
Austria,AUT,2008,98.44858481827363
Austria,AUT,2009,95.87960091811821
Austria,AUT,2010,104.35706253196223
Austria,AUT,2011,98.15820563597251
Austria,AUT,2012,93.62401692441222
Austria,AUT,2013,89.73507322178692
Austria,AUT,2014,82.35403269632602
Austria,AUT,2015,87.37898554944171
Austria,AUT,2016,91.50062177794818
Azerbaijan,AZE,1985,138.11131000857375
Azerbaijan,AZE,1986,153.45575746978375
Azerbaijan,AZE,1987,151.56026693280646
Azerbaijan,AZE,1988,149.66477630110515
Azerbaijan,AZE,1989,157.24673863846238
Azerbaijan,AZE,1990,160.37204152871738
Azerbaijan,AZE,1991,153.45575746978375
Azerbaijan,AZE,1992,119.34820990408396
Azerbaijan,AZE,1993,88.09518082155824
Azerbaijan,AZE,1994,82.40870910642994
Azerbaijan,AZE,1995,81.46096381899648
Azerbaijan,AZE,1996,59.674104942569585
Azerbaijan,AZE,1997,56.83086908026922
Azerbaijan,AZE,1998,53.039887940007816
Azerbaijan,AZE,1999,56.83086908026922
Azerbaijan,AZE,2000,54.93537851487472
Azerbaijan,AZE,2001,78.79825087580528
Azerbaijan,AZE,2002,79.02390451521931
Azerbaijan,AZE,2003,81.03222190505704
Azerbaijan,AZE,2004,87.1555359596532
Azerbaijan,AZE,2005,90.0256726182528
Azerbaijan,AZE,2006,95.16918484802041
Azerbaijan,AZE,2007,83.7928345939672
Azerbaijan,AZE,2008,95.86635335651192
Azerbaijan,AZE,2009,81.85667639918913
Azerbaijan,AZE,2010,77.81290960197404
Azerbaijan,AZE,2011,85.21937776487512
Azerbaijan,AZE,2012,89.43554220957046
Azerbaijan,AZE,2013,89.83243569470353
Azerbaijan,AZE,2014,98.54446055426534
Azerbaijan,AZE,2015,111.46552499999983
Azerbaijan,AZE,2016,109.30452499999983
Bangladesh,BGD,1965,0
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,4.39614
Bangladesh,BGD,1973,6.082490000000001
Bangladesh,BGD,1974,6.6872500000000015
Bangladesh,BGD,1975,6.72214
Bangladesh,BGD,1976,8.850430000000001
Bangladesh,BGD,1977,9.87387
Bangladesh,BGD,1978,10.897310000000001
Bangladesh,BGD,1979,12.53714
Bangladesh,BGD,1980,14.118820000000001
Bangladesh,BGD,1981,14.804803824052502
Bangladesh,BGD,1982,19.2210516114075
Bangladesh,BGD,1983,21.387680559432003
Bangladesh,BGD,1984,24.68652873884551
Bangladesh,BGD,1985,28.03576363798051
Bangladesh,BGD,1986,31.613220738207
Bangladesh,BGD,1987,37.143904208814
Bangladesh,BGD,1988,43.717889170125005
Bangladesh,BGD,1989,46.21647768337351
Bangladesh,BGD,1990,49.74354806387851
Bangladesh,BGD,1991,51.228474333318005
Bangladesh,BGD,1992,55.864052547696
Bangladesh,BGD,1993,62.53288309907101
Bangladesh,BGD,1994,66.320778852252
Bangladesh,BGD,1995,73.32156896885101
Bangladesh,BGD,1996,78.6951644309145
Bangladesh,BGD,1997,77.3554704712605
Bangladesh,BGD,1998,83.588604093279
Bangladesh,BGD,1999,91.13475635274601
Bangladesh,BGD,2000,98.5060370555325
Bangladesh,BGD,2001,110.30542124443203
Bangladesh,BGD,2002,116.04654336799351
Bangladesh,BGD,2003,124.82568829829252
Bangladesh,BGD,2004,134.1976181664915
Bangladesh,BGD,2005,144.23643108982802
Bangladesh,BGD,2006,156.19883113665003
Bangladesh,BGD,2007,166.780042278165
Bangladesh,BGD,2008,178.09037889329701
Bangladesh,BGD,2009,203.86712717755853
Bangladesh,BGD,2010,209.38053184034854
Bangladesh,BGD,2011,212.95206109119604
Bangladesh,BGD,2012,232.02788039281808
Bangladesh,BGD,2013,238.73227804046707
Bangladesh,BGD,2014,250.36271852206508
Bangladesh,BGD,2015,281.15789604597006
Bangladesh,BGD,2016,288.054048537
Belarus,BLR,1985,93.87191398676875
Belarus,BLR,1986,95.66586038648337
Belarus,BLR,1987,107.98654916100784
Belarus,BLR,1988,125.03468160973988
Belarus,BLR,1989,131.66889858388444
Belarus,BLR,1990,140.2888676303401
Belarus,BLR,1991,146.82154049563917
Belarus,BLR,1992,170.50388991851577
Belarus,BLR,1993,158.194483906951
Belarus,BLR,1994,138.2918328897933
Belarus,BLR,1995,125.03468160973988
Belarus,BLR,1996,131.66889858388444
Belarus,BLR,1997,150.6125215695938
Belarus,BLR,1998,152.5080122012951
Belarus,BLR,1999,155.3512480067611
Belarus,BLR,2000,164.81741821285988
Belarus,BLR,2001,163.86967294437122
Belarus,BLR,2002,168.6083993815385
Belarus,BLR,2003,165.76516348134854
Belarus,BLR,2004,187.55202236724784
Belarus,BLR,2005,192.29074880441507
Belarus,BLR,2006,196.2586185792908
Belarus,BLR,2007,197.0353552327732
Belarus,BLR,2008,201.79049913579962
Belarus,BLR,2009,168.656050186026
Belarus,BLR,2010,206.6214222245316
Belarus,BLR,2011,191.5508366673304
Belarus,BLR,2012,193.90188590384665
Belarus,BLR,2013,194.07333631150559
Belarus,BLR,2014,192.0396124151315
Belarus,BLR,2015,162.95953840133197
Belarus,BLR,2016,178.08108640816002
Belgium,BEL,1965,0.7349999999999989
Belgium,BEL,1966,1.326499999999998
Belgium,BEL,1967,5.055499999999992
Belgium,BEL,1968,12.298999999999982
Belgium,BEL,1969,25.334999999999958
Belgium,BEL,1970,39.75174999999994
Belgium,BEL,1971,54.81474999999992
Belgium,BEL,1972,69.11349999999989
Belgium,BEL,1973,83.07224999999987
Belgium,BEL,1974,97.35674999999986
Belgium,BEL,1975,96.19474999999986
Belgium,BEL,1976,101.61149999999985
Belgium,BEL,1977,99.96949999999985
Belgium,BEL,1978,99.12449999999984
Belgium,BEL,1979,108.30524999999984
Belgium,BEL,1980,103.63149999999985
Belgium,BEL,1981,95.58049999999986
Belgium,BEL,1982,79.68624999999987
Belgium,BEL,1983,82.80874999999988
Belgium,BEL,1984,85.45049999999988
Belgium,BEL,1985,85.86399999999986
Belgium,BEL,1986,77.09499999999989
Belgium,BEL,1987,85.01649999999987
Belgium,BEL,1988,83.90599999999988
Belgium,BEL,1989,93.24424999999985
Belgium,BEL,1990,95.00599999999986
Belgium,BEL,1991,101.58224999999985
Belgium,BEL,1992,105.24824999999983
Belgium,BEL,1993,109.39899999999984
Belgium,BEL,1994,112.49224999999983
Belgium,BEL,1995,123.40524999999981
Belgium,BEL,1996,137.4162499999998
Belgium,BEL,1997,131.0084999999998
Belgium,BEL,1998,145.07574999999977
Belgium,BEL,1999,155.08474999999976
Belgium,BEL,2000,155.47624999999977
Belgium,BEL,2001,153.28074999999978
Belgium,BEL,2002,155.58549999999977
Belgium,BEL,2003,167.49524999999974
Belgium,BEL,2004,169.44899999999973
Belgium,BEL,2005,171.28449999999975
Belgium,BEL,2006,174.48049999999975
Belgium,BEL,2007,173.61874999999975
Belgium,BEL,2008,172.56774999999973
Belgium,BEL,2009,175.74974999999972
Belgium,BEL,2010,197.61474999999967
Belgium,BEL,2011,165.06721833929976
Belgium,BEL,2012,167.0067093248997
Belgium,BEL,2013,164.91082529519971
Belgium,BEL,2014,144.33383704049976
Belgium,BEL,2015,158.20358514479975
Belgium,BEL,2016,161.49054713759975
Brazil,BRA,1965,0.522149696775
Brazil,BRA,1966,0.610609453875
Brazil,BRA,1967,0.6902541652500002
Brazil,BRA,1968,0.729483696225
Brazil,BRA,1969,0.7688163271499999
Brazil,BRA,1970,0.8247996
Brazil,BRA,1971,1.29905937
Brazil,BRA,1972,1.7836291350000002
Brazil,BRA,1973,2.04137901
Brazil,BRA,1974,3.9281080950000002
Brazil,BRA,1975,4.26833793
Brazil,BRA,1976,4.9178676150000005
Brazil,BRA,1977,6.134447025
Brazil,BRA,1978,8.072726085
Brazil,BRA,1979,8.845975710000001
Brazil,BRA,1980,10.340924985000003
Brazil,BRA,1981,9.2789955
Brazil,BRA,1982,13.258653570000002
Brazil,BRA,1983,17.929081305
Brazil,BRA,1984,20.86742988
Brazil,BRA,1985,26.177077305000005
Brazil,BRA,1986,30.496965210000003
Brazil,BRA,1987,34.043603489999995
Brazil,BRA,1988,34.270423380000004
Brazil,BRA,1989,35.136462959999996
Brazil,BRA,1990,31.98987310599
Brazil,BRA,1991,33.25651785171
Brazil,BRA,1992,37.673742419505004
Brazil,BRA,1993,44.132335687305
Brazil,BRA,1994,48.197360515905004
Brazil,BRA,1995,53.19413052264
Brazil,BRA,1996,58.60715626750499
Brazil,BRA,1997,63.689540472720005
Brazil,BRA,1998,66.74725816983
Brazil,BRA,1999,79.204423038525
Brazil,BRA,2000,98.69481848929027
Brazil,BRA,2001,124.95059193457531
Brazil,BRA,2002,147.63028242429
Brazil,BRA,2003,165.23495953041513
Brazil,BRA,2004,196.50965941944003
Brazil,BRA,2005,204.6927665967777
Brazil,BRA,2006,215.29667993244252
Brazil,BRA,2007,221.7226423286333
Brazil,BRA,2008,260.9712051551899
Brazil,BRA,2009,210.19980234316222
Brazil,BRA,2010,280.45584503581443
Brazil,BRA,2011,279.5064318504785
Brazil,BRA,2012,331.30334331290857
Brazil,BRA,2013,390.35279911266645
Brazil,BRA,2014,413.4661730958349
Brazil,BRA,2015,436.66462067238
Brazil,BRA,2016,383.09463928201507
Bulgaria,BGR,1965,0.63965
Bulgaria,BGR,1966,0.9536600000000001
Bulgaria,BGR,1967,2.8958700000000004
Bulgaria,BGR,1968,4.44266
Bulgaria,BGR,1969,4.61711
Bulgaria,BGR,1970,4.16354
Bulgaria,BGR,1971,2.8764999999999956
Bulgaria,BGR,1972,1.937999999999997
Bulgaria,BGR,1973,1.9524999999999972
Bulgaria,BGR,1974,4.254499999999993
Bulgaria,BGR,1975,11.298749999999982
Bulgaria,BGR,1976,19.76074999999997
Bulgaria,BGR,1977,25.215499999999963
Bulgaria,BGR,1978,26.90024999999996
Bulgaria,BGR,1979,28.779499999999956
Bulgaria,BGR,1980,36.991499999999945
Bulgaria,BGR,1981,40.23924999999994
Bulgaria,BGR,1982,44.527999999999935
Bulgaria,BGR,1983,46.789499999999926
Bulgaria,BGR,1984,49.19499999999992
Bulgaria,BGR,1985,53.657999999999916
Bulgaria,BGR,1986,53.285499999999914
Bulgaria,BGR,1987,59.42299999999991
Bulgaria,BGR,1988,57.724499999999914
Bulgaria,BGR,1989,59.4232499999999
Bulgaria,BGR,1990,63.017499999999906
Bulgaria,BGR,1991,53.21949999999992
Bulgaria,BGR,1992,47.121249999999925
Bulgaria,BGR,1993,43.84574999999993
Bulgaria,BGR,1994,43.862749999999934
Bulgaria,BGR,1995,52.939249999999916
Bulgaria,BGR,1996,54.08424999999991
Bulgaria,BGR,1997,43.147249999999936
Bulgaria,BGR,1998,36.101499999999945
Bulgaria,BGR,1999,31.27849999999995
Bulgaria,BGR,2000,34.06824999999995
Bulgaria,BGR,2001,28.639249999999954
Bulgaria,BGR,2002,25.39299999999996
Bulgaria,BGR,2003,26.83299999999996
Bulgaria,BGR,2004,26.198749999999958
Bulgaria,BGR,2005,32.663999999999945
Bulgaria,BGR,2006,33.65699999999995
Bulgaria,BGR,2007,33.91899999999995
Bulgaria,BGR,2008,33.92124999999995
Bulgaria,BGR,2009,24.263749999999963
Bulgaria,BGR,2010,26.72274999999996
Bulgaria,BGR,2011,30.594499999999954
Bulgaria,BGR,2012,28.512249999999955
Bulgaria,BGR,2013,27.543999999999954
Bulgaria,BGR,2014,27.36149999999996
Bulgaria,BGR,2015,30.003499999999953
Bulgaria,BGR,2016,31.250499999999953
CIS,,1965,0
CIS,,1966,0
CIS,,1967,0
CIS,,1968,0
CIS,,1969,0
CIS,,1970,0
CIS,,1971,0
CIS,,1972,0
CIS,,1973,0
CIS,,1974,0
CIS,,1975,0
CIS,,1976,0
CIS,,1977,0
CIS,,1978,0
CIS,,1979,0
CIS,,1980,0
CIS,,1981,0
CIS,,1982,0
CIS,,1983,0
CIS,,1984,0
CIS,,1985,5401.177816787211
CIS,,1986,5570.700113148359
CIS,,1987,5842.556335490549
CIS,,1988,6161.799821304533
CIS,,1989,6288.707428029526
CIS,,1990,6582.373074243607
CIS,,1991,6616.469339917808
CIS,,1992,6277.932466754611
CIS,,1993,6118.135842199162
CIS,,1994,5697.664133690047
CIS,,1995,5492.116233361189
CIS,,1996,5579.256862891946
CIS,,1997,5217.533429457095
CIS,,1998,5327.276051020322
CIS,,1999,5391.688196726304
CIS,,2000,5437.723208730947
CIS,,2001,5545.409220982361
CIS,,2002,5593.211289476042
CIS,,2003,5661.856695190563
CIS,,2004,5782.75798724565
CIS,,2005,5861.16532467582
CIS,,2006,6097.501879682845
CIS,,2007,6213.504331579753
CIS,,2008,6164.813382940381
CIS,,2009,5579.869254839227
CIS,,2010,5975.112666552685
CIS,,2011,6185.946894949986
CIS,,2012,6100.763340440219
CIS,,2013,5961.739347119652
CIS,,2014,5928.899001135698
CIS,,2015,5813.011661186433
CIS,,2016,5721.943795989316
Canada,CAN,1965,238.11262000000002
Canada,CAN,1966,260.68645
Canada,CAN,1967,276.82889
Canada,CAN,1968,308.26478000000003
Canada,CAN,1969,344.50386000000003
Canada,CAN,1970,380.59175000000005
Canada,CAN,1971,406.22427000000005
Canada,CAN,1972,456.91944000000007
Canada,CAN,1973,485.91303
Canada,CAN,1974,491.18142000000006
Canada,CAN,1975,507.2308200000001
Canada,CAN,1976,511.73163
Canada,CAN,1977,536.7477600000001
Canada,CAN,1978,541.8765900000001
Canada,CAN,1979,550.14552
Canada,CAN,1980,546.69141
Canada,CAN,1981,530.46756
Canada,CAN,1982,561.7638900000001
Canada,CAN,1983,535.70106
Canada,CAN,1984,594.63027
Canada,CAN,1985,623.7348102000001
Canada,CAN,1986,600.2772165
Canada,CAN,1987,607.546548
Canada,CAN,1988,668.6518473000001
Canada,CAN,1989,722.8342728
Canada,CAN,1990,700.6620267000001
Canada,CAN,1991,705.5040609
Canada,CAN,1992,747.8587764000001
Canada,CAN,1993,793.4938497
Canada,CAN,1994,821.4574869000002
Canada,CAN,1995,863.1182403
Canada,CAN,1996,906.2066925000001
Canada,CAN,1997,912.4303707000001
Canada,CAN,1998,873.2534364
Canada,CAN,1999,914.4159606000001
Canada,CAN,2000,970.2479853000001
Canada,CAN,2001,923.1203178000001
Canada,CAN,2002,943.7989230000001
Canada,CAN,2003,1022.1915195000001
Canada,CAN,2004,995.1123438000001
Canada,CAN,2005,1023.6966741000001
Canada,CAN,2006,1014.7222683000001
Canada,CAN,2007,1006.9285401000001
Canada,CAN,2008,1005.6065580000001
Canada,CAN,2009,993.6741780000001
Canada,CAN,2010,994.8370617000002
Canada,CAN,2011,1055.5979967
Canada,CAN,2012,1048.9441248
Canada,CAN,2013,1087.4804787
Canada,CAN,2014,1091.0141379000002
Canada,CAN,2015,1072.4749875
Canada,CAN,2016,1045.1596523813912
Chile,CHL,1965,6.615144
Chile,CHL,1966,6.908220000000002
Chile,CHL,1967,6.123195
Chile,CHL,1968,5.2335
Chile,CHL,1969,6.887286000000001
Chile,CHL,1970,6.876819000000001
Chile,CHL,1971,7.012890000000001
Chile,CHL,1972,6.384870000000001
Chile,CHL,1973,5.013693000000001
Chile,CHL,1974,5.223033
Chile,CHL,1975,5.924322000000001
Chile,CHL,1976,6.468606000000001
Chile,CHL,1977,6.657012000000001
Chile,CHL,1978,6.217398
Chile,CHL,1979,7.358301000000001
Chile,CHL,1980,7.536240000000001
Chile,CHL,1981,7.4211030000000004
Chile,CHL,1982,7.682778
Chile,CHL,1983,8.289864000000001
Chile,CHL,1984,8.478270000000002
Chile,CHL,1985,8.467803000000002
Chile,CHL,1986,7.745580000000001
Chile,CHL,1987,7.515306000000001
Chile,CHL,1988,10.561203000000003
Chile,CHL,1989,16.475058
Chile,CHL,1990,17.68923
Chile,CHL,1991,17.51024429999997
Chile,CHL,1992,19.58585039999997
Chile,CHL,1993,20.280632970448774
Chile,CHL,1994,19.56072959999997
Chile,CHL,1995,18.74430359999997
Chile,CHL,1996,19.049939999999967
Chile,CHL,1997,25.919432099999955
Chile,CHL,1998,35.79399989999994
Chile,CHL,1999,48.89554379999993
Chile,CHL,2000,63.1264769999999
Chile,CHL,2001,71.55136529999989
Chile,CHL,2002,72.15949799999989
Chile,CHL,2003,78.06497939999987
Chile,CHL,2004,84.73516362303435
Chile,CHL,2005,81.9698194891803
Chile,CHL,2006,75.85514872375369
Chile,CHL,2007,44.71293059999993
